,ynn_timeseries
0,1.0
1,0.8
2,0.8
3,0.8
4,0.8
5,0.8
6,0.8
7,0.8
8,0.8
9,0.8
10,1.0
11,0.8
12,0.8
13,0.8
14,0.8
15,0.8
16,0.8
17,0.8
18,0.8
19,1.0
