,ynn,red,sparsity,closest
0,0.9942857142857143,21,82,140
1,0.9942857142857143,11,60,140
2,0.9942857142857143,7,39,140
3,0.9942857142857143,7,40,140
4,0.9942857142857143,25,71,140
5,0.9942857142857143,23,84,140
6,0.9942857142857143,13,49,140
7,0.9942857142857143,19,109,140
8,0.9942857142857143,1,18,140
9,0.9942857142857143,31,75,140
10,0.9942857142857143,26,85,140
11,0.9942857142857143,27,58,140
12,0.9942857142857143,8,52,140
13,0.9942857142857143,11,60,140
14,0.9942857142857143,3,37,140
15,0.9942857142857143,33,100,140
16,0.9942857142857143,20,76,140
17,0.9942857142857143,15,50,140
18,0.9942857142857143,13,53,140
19,0.9942857142857143,13,39,140
20,1.0,53,89,140
21,0.9942857142857143,30,102,140
