,ynn,ynn_timeseries,red,sparsity,closest
0,0.3999999999999999,0.8,29,52,96
1,0.19999999999999996,0.8,5,18,96
2,0.19999999999999996,0.8,1,11,96
3,0.19999999999999996,0.8,21,54,96
4,0.6,0.8,18,31,96
5,0.19999999999999996,0.8,6,19,96
6,0.3999999999999999,0.8,6,28,96
7,0.19999999999999996,0.8,5,15,96
8,0.19999999999999996,0.8,4,7,96
9,0.19999999999999996,0.8,39,54,96
10,0.6,0.8,11,23,96
11,0.3999999999999999,0.8,11,45,96
12,0.3999999999999999,0.8,3,22,96
13,0.19999999999999996,0.8,9,12,96
14,0.8,0.8,22,33,96
15,0.6,0.8,5,32,96
16,0.19999999999999996,0.8,11,18,96
17,1.0,0.8,8,67,93
18,0.3999999999999999,0.8,36,52,96
19,0.19999999999999996,0.8,12,20,96
20,0.8,0.8,14,55,96
21,0.19999999999999996,0.8,36,66,96
22,0.3999999999999999,0.8,33,96,96
23,0.6,0.8,14,56,96
24,0.19999999999999996,0.8,35,52,96
25,0.3999999999999999,0.8,33,81,96
26,0.6,0.8,36,88,96
27,0.19999999999999996,0.8,14,96,96
28,0.19999999999999996,0.8,18,54,96
29,0.8,0.8,28,96,96
30,0.19999999999999996,0.8,50,91,96
31,0.19999999999999996,0.8,24,90,96
32,0.19999999999999996,0.8,50,96,96
33,0.19999999999999996,0.8,22,53,96
34,0.19999999999999996,0.8,32,52,96
35,0.19999999999999996,0.8,32,41,96
36,0.19999999999999996,0.8,32,90,96
37,0.19999999999999996,0.8,32,96,96
38,0.3999999999999999,0.8,51,96,96
39,0.19999999999999996,0.8,29,96,96
40,0.19999999999999996,0.8,31,60,96
41,0.19999999999999996,0.8,38,72,96
42,0.19999999999999996,0.8,26,78,96
43,0.6,0.8,21,62,96
44,0.19999999999999996,0.8,4,6,96
45,0.6,0.8,22,64,96
46,0.3999999999999999,0.8,10,51,96
47,0.8,0.8,29,75,96
48,0.19999999999999996,0.8,20,62,96
49,0.3999999999999999,0.8,16,53,96
50,0.3999999999999999,0.8,17,63,96
51,0.19999999999999996,0.8,18,50,96
52,0.19999999999999996,0.8,12,60,96
53,0.19999999999999996,0.8,35,78,96
54,0.6,0.8,30,64,96
55,0.19999999999999996,0.8,19,52,96
56,0.3999999999999999,0.8,20,54,96
57,0.3999999999999999,0.8,22,88,96
58,0.19999999999999996,0.8,27,72,96
59,0.6,0.8,23,58,96
