,ynn_timeseries
0,0.8
1,1.0
2,0.8
3,0.8
4,1.0
5,0.8
6,0.8
7,0.8
8,1.0
9,1.0
10,1.0
11,0.8
12,0.8
13,0.8
14,0.8
15,0.8
16,0.8
17,0.8
18,0.8
19,0.8
