,ynn,red,sparsity,closest
0,0.9916666666666667,3,56,96
1,0.9916666666666667,35,59,96
2,0.9916666666666667,27,50,96
3,0.9958333333333333,9,50,96
4,0.9916666666666667,15,43,96
5,0.9916666666666667,24,70,96
6,0.9958333333333333,21,46,96
7,0.9916666666666667,21,49,96
8,0.9916666666666667,14,28,96
9,0.9916666666666667,17,40,96
10,0.9916666666666667,3,8,96
11,0.9916666666666667,56,66,96
12,0.9958333333333333,31,43,96
13,0.9916666666666667,8,64,96
14,0.9916666666666667,28,65,96
15,0.9916666666666667,16,44,96
16,0.9958333333333333,10,19,96
17,0.9916666666666667,10,74,72
18,0.99375,41,55,96
19,0.9916666666666667,7,15,96
20,0.9916666666666667,13,52,96
21,0.9916666666666667,15,43,96
