,method,validity,ynn_timeseries,ynn_timeseries_std,red,red_std,sparsity,sparsity_std,dis,dis_std
0,TS_Evo,Not implemented,,,,,,,,
1,Wachter,1.0,,,,,,,,
2,NG_DBN,1.0,,,,,,,,
3,NG_GradCam,1.0,,,,,,,,
