,ynn,ynn_timeseries,red,sparsity
0,0.19999999999999996,1.0,6893,6893
1,0.19999999999999996,1.0,206,206
2,0.19999999999999996,1.0,241,241
3,0.3999999999999999,1.0,23653,23653
4,0.6,1.0,361,361
5,1.0,1.0,688,688
6,0.6,1.0,3457,3457
7,0.3999999999999999,1.0,291,291
8,0.3999999999999999,1.0,625,625
9,0.6,1.0,366,366
10,0.8,1.0,949,949
11,0.6,1.0,360,360
12,1.0,1.0,707,707
13,0.8,1.0,2101,2101
14,0.3999999999999999,1.0,300,300
15,0.19999999999999996,1.0,496,496
16,0.3999999999999999,1.0,4049,4049
17,0.3999999999999999,1.0,230,230
18,0.3999999999999999,1.0,2212,2212
19,0.3999999999999999,1.0,8036,8036
20,0.19999999999999996,1.0,5561,5561
21,0.19999999999999996,1.0,218,218
22,0.19999999999999996,1.0,326,326
23,0.3999999999999999,1.0,8171,8172
24,0.6,1.0,436,436
25,1.0,1.0,400,400
26,0.3999999999999999,1.0,4868,4868
27,0.19999999999999996,1.0,580,580
28,0.6,1.0,625,625
29,0.6,1.0,596,596
30,0.8,1.0,1126,1126
31,0.6,1.0,463,463
32,1.0,1.0,819,819
33,0.8,1.0,1061,1061
34,0.6,1.0,1078,1078
35,0.19999999999999996,1.0,727,727
36,0.3999999999999999,1.0,1233,1233
37,0.3999999999999999,1.0,363,363
38,0.3999999999999999,1.0,683,683
39,0.3999999999999999,1.0,974,974
