,ynn,ynn_timeseries,red,sparsity,closest
0,0.19999999999999996,0.8,107,175,444
1,0.19999999999999996,0.8,205,398,403
2,0.19999999999999996,0.8,47,108,360
3,0.19999999999999996,0.8,57,145,395
4,0.19999999999999996,0.8,59,113,366
5,0.19999999999999996,0.8,30,72,364
6,0.19999999999999996,0.8,54,94,400
7,0.19999999999999996,0.8,45,203,399
8,0.3999999999999999,0.8,55,141,372
9,0.19999999999999996,0.8,72,150,369
10,0.19999999999999996,0.8,65,175,376
11,0.19999999999999996,0.8,34,78,368
12,0.19999999999999996,0.8,18,77,368
13,0.19999999999999996,0.8,21,79,374
14,1.0,0.8,82,192,375
15,0.19999999999999996,0.8,75,224,391
16,0.19999999999999996,0.8,30,96,365
17,0.19999999999999996,0.8,43,130,349
18,0.19999999999999996,0.8,24,89,373
19,0.19999999999999996,0.8,33,146,346
20,0.19999999999999996,0.8,98,194,432
21,0.19999999999999996,0.8,299,441,533
22,0.19999999999999996,0.8,269,430,504
23,0.19999999999999996,0.8,229,328,525
24,0.6,0.8,227,356,462
25,0.19999999999999996,0.8,284,495,539
26,0.19999999999999996,0.8,215,342,480
27,0.19999999999999996,0.8,99,285,502
28,0.19999999999999996,0.8,160,243,458
29,0.19999999999999996,0.8,223,379,466
30,0.19999999999999996,0.8,179,337,533
31,0.19999999999999996,0.8,206,379,467
32,0.19999999999999996,0.8,239,338,538
33,0.19999999999999996,0.8,144,247,471
34,0.19999999999999996,0.8,256,433,516
35,0.19999999999999996,0.8,282,441,525
36,0.19999999999999996,0.8,233,413,534
37,0.19999999999999996,0.8,271,405,458
38,0.19999999999999996,0.8,244,346,495
39,0.19999999999999996,0.8,258,405,534
40,0.19999999999999996,0.8,344,546,546
41,0.19999999999999996,0.8,299,546,546
42,0.19999999999999996,0.8,239,546,546
43,0.19999999999999996,0.8,273,546,546
44,0.19999999999999996,0.8,144,546,546
45,0.19999999999999996,0.8,211,546,546
46,0.19999999999999996,0.8,184,546,546
47,0.19999999999999996,0.8,225,546,546
48,0.19999999999999996,0.8,348,546,546
49,0.3999999999999999,0.8,317,546,546
50,0.19999999999999996,0.8,190,546,546
51,0.19999999999999996,0.8,308,546,546
52,0.19999999999999996,0.8,300,546,546
53,0.19999999999999996,0.8,242,546,546
54,0.19999999999999996,0.8,330,518,545
55,0.3999999999999999,0.8,196,546,546
56,0.19999999999999996,0.8,302,546,546
57,1.0,0.8,211,546,546
58,0.19999999999999996,0.8,252,546,546
59,0.19999999999999996,0.8,192,546,546
60,0.19999999999999996,0.8,83,127,432
61,0.19999999999999996,0.8,57,143,372
62,0.19999999999999996,0.8,41,122,359
63,0.19999999999999996,0.8,21,72,397
64,0.19999999999999996,0.8,20,93,359
65,0.19999999999999996,0.8,60,131,370
66,0.19999999999999996,0.8,7,53,404
67,0.19999999999999996,0.8,27,108,388
68,0.19999999999999996,0.8,23,55,364
69,0.19999999999999996,0.8,16,45,369
70,0.19999999999999996,0.8,20,145,379
71,0.3999999999999999,0.8,78,130,361
72,0.6,0.8,71,159,365
73,0.19999999999999996,0.8,33,90,374
74,0.19999999999999996,0.8,90,176,387
75,0.19999999999999996,0.8,26,76,394
76,0.19999999999999996,0.8,55,94,349
77,0.19999999999999996,0.8,61,158,364
78,0.19999999999999996,0.8,95,153,381
79,0.19999999999999996,0.8,49,144,353
