,method,validity,ynn_timeseries,ynn_timeseries_std,red,red_std,sparsity,sparsity_std,dis,dis_std
0,TS_Evo,Not implemented,0.8000000000000002,1.1102230246251565e-16,366.1,133.3056262878653,0.8549206349206351,0.24425653007551895,0.5694997745486458,0.23530132408261356
1,Wachter,0.44999999999999996,0.8,0.0,915.3333333333334,83.91000470080364,1.0,0.0,0.8651705348738007,1.5879690099509536
2,Ates,1.0,0.8000000000000002,1.1102230246251565e-16,0.0,0.0,0.9166666666666666,0.17873008824606013,0.961960054920635,0.171921836361689
