,method,validity,ynn_timeseries,ynn_timeseries_std,sparsity,sparsity_std,dis,dis_std
0,TS_Evo,1.0,1.0,0.0,0.14930069930069928,0.09684809761900924,0.033196528876998345,0.016171031668850682
1,Wachter,0.30000000000000004,0.8000000000000002,1.1102230246251565e-16,1.0,0.0,0.10836807625761886,0.034229794599717034
2,NG_DBN,0.7,0.8142857142857146,0.05150787536377127,0.9655344655344654,0.12426725175175586,0.0582039214220526,0.045592014575041036
3,NG_GradCam,0.7,0.8000000000000002,1.1102230246251565e-16,0.02872127872127872,0.005148733298723353,0.006277709069721808,0.0016925408392327846
