,ynn,ynn_timeseries,red,sparsity,closest
0,0.3999999999999999,1.0,9,9,150
1,0.6,0.8,108,108,150
2,0.19999999999999996,1.0,138,138,120
3,0.3999999999999999,1.0,4,4,150
4,0.3999999999999999,1.0,10,10,150
5,0.6,1.0,10,10,150
6,0.19999999999999996,0.8,133,133,150
7,0.19999999999999996,0.8,115,122,150
8,0.6,0.8,125,125,150
9,0.3999999999999999,1.0,4,4,150
10,0.8,1.0,5,5,150
11,0.3999999999999999,1.0,5,5,150
12,0.6,1.0,6,6,150
13,0.19999999999999996,1.0,6,6,147
14,0.3999999999999999,1.0,5,5,150
15,0.3999999999999999,1.0,6,6,150
16,0.6,1.0,5,5,150
17,0.6,0.8,95,99,150
18,0.19999999999999996,0.8,103,104,150
19,0.3999999999999999,0.8,134,134,150
