,dataset,yNN_timeseries,yNN_timeseries_std
0,CBF,0.8200000000000001,0.059999999999999984
1,ECG5000,0.8000000000000002,1.1102230246251565e-16
2,ElectricDevices,0.8500000000000002,0.08660254037844385
3,FordA,0.8100000000000002,0.043588989435406726
4,GunPoint,0.8600000000000001,0.0916515138991168
5,Heartbeat,0.8100000000000002,0.043588989435406726
6,NATOPS,0.8200000000000001,0.059999999999999984
7,PenDigits,0.8200000000000001,0.059999999999999984
8,UWaveGestureLibrary,0.8200000000000001,0.059999999999999984
9,Coffee,0.8200000000000001,0.059999999999999984
