,dataset,redundancy,redundancy_std,yNN,yNN_std,yNN_timeseries,yNN_timeseries_std
0,CBF,9.1,18.381784461798045,0.2,0.4000000000000001,0.2,0.4000000000000001
1,Coffee,20.9,21.417049283222934,0.75,0.4330127018922193,0.75,0.4330127018922193
2,ECG5000,0.0,0.0,0.0,0.0,0.0,0.0
3,FordA,23.2,61.77993201679653,0.35,0.4769696007084728,0.35,0.4769696007084728
4,GunPoint,4.75,6.323567031351846,0.55,0.49749371855331,0.55,0.49749371855331
5,ElectricDevices,17.4,26.477159968546474,0.4,0.48989794855663565,0.4,0.48989794855663565
