,method,validity,ynn_timeseries,ynn_timeseries_std,red,red_std,sparsity,sparsity_std,dis,dis_std
0,TS_Evo,Not implemented,0.9818181818181819,0.05749595745760689,79.86363636363636,66.48123142836184,0.2794024157660522,0.23230266759858356,0.0431422057623363,0.04244788099124196
1,Wachter,0.75,0.8117647058823529,0.04705882352941175,284.5882352941176,1.784205986835659,1.0,0.0,0.3789218105725543,0.18630745870305992
2,NG_DBN,0.65,0.8000000000000003,2.220446049250313e-16,0.06666666666666667,0.24944382578492946,0.616083916083916,0.15629644402414405,0.03125819870311402,0.016272603287810418
3,NG_GradCam,1.0,0.9000000000000002,0.09999999999999998,181.95454545454547,137.54486120162835,0.6363636363636364,0.4810456929208347,0.050187340255284485,0.038737252112507906
