,ynn,red,sparsity,closest
0,0.9979020979020979,35,35,286
1,0.9979020979020979,87,87,265
2,0.9979020979020979,16,16,286
3,0.9972027972027973,12,12,286
4,0.9986013986013986,28,28,286
5,0.9979020979020979,23,23,273
6,0.9986013986013986,0,0,286
7,0.9972027972027973,12,12,286
8,0.9986013986013986,105,105,231
9,0.9972027972027973,17,18,286
10,1.0,81,81,286
11,0.9979020979020979,142,142,286
12,0.9972027972027973,22,22,286
13,0.9972027972027973,12,12,286
14,1.0,63,63,286
15,1.0,157,157,267
16,0.9993006993006993,84,84,286
17,1.0,138,138,286
18,1.0,199,199,286
19,1.0,137,137,286
20,1.0,205,205,248
21,1.0,182,182,253
