,ynn,red,sparsity,closest
0,0.9997222222222222,12,172,720
1,0.9997222222222222,375,568,720
2,0.9988888888888889,306,393,720
3,0.9997222222222222,491,505,720
4,0.9994444444444445,79,437,720
5,0.9994444444444445,30,156,720
6,0.9997222222222222,52,677,720
7,0.9994444444444445,80,151,720
8,0.9994444444444445,196,322,720
9,0.9994444444444445,168,299,720
10,0.9988888888888889,213,276,720
11,0.9994444444444445,306,344,720
12,0.9991666666666666,257,324,720
13,0.9991666666666666,25,337,720
14,0.9994444444444445,66,433,716
15,0.9994444444444445,159,204,720
16,0.9997222222222222,40,407,720
17,0.9991666666666666,340,424,720
18,0.9988888888888889,256,272,720
19,0.9994444444444445,58,125,720
20,0.9988888888888889,442,470,720
21,1.0,94,150,720
