,method,validity,ynn_timeseries,ynn_timeseries_std,sparsity,sparsity_std,dis,dis_std
0,TS_Evo,1.0,0.9400000000000001,0.09165151389911678,0.3743333333333333,0.3794222215714601,0.25424326040006323,0.29734425855297975
1,Wachter,0.4,0.8000000000000002,1.1102230246251565e-16,1.0,0.0,0.07494143649248394,0.05378506253934058
2,NG_DBN,0.6,0.8666666666666668,0.09428090415820632,1.0,0.0,80182337.53675295,265934728.00698522
3,NG_GradCam,0.6,0.8000000000000002,1.1102230246251565e-16,0.19166666666666665,0.1557330336755108,0.018822689697996605,0.01573758370376934
