,method,validity,ynn_timeseries,ynn_timeseries_std,red,red_std,sparsity,sparsity_std,dis,dis_std
0,TS_Evo,1.0,0.8000000000000002,1.1102230246251565e-16,16.45,10.131510252672106,0.359765625,0.15170086709103503,0.2890617462730616,0.1441163271233654
1,Wachter,0.0,0.89,0.09949874371066197,128.0,0.0,1.0,0.0,1.771658832471898e-08,1.532644260065223e-09
2,NG_DBN,0.15000000000000002,0.8000000000000002,1.1102230246251565e-16,8.333333333333334,11.08552609887726,1.0,0.0,0.48201628930961543,0.06502507580134764
3,NG_GradCam,0.0,0.8800000000000001,0.09797958971132709,1.0,0.0,0.0078125,0.0,0.0015253771946324777,0.004209291454264017
