,dataset,yNN_timeseries,yNN_timeseries_std
0,CBF,0.8200000000000001,0.059999999999999984
1,Coffee,0.8300000000000003,0.07141428428542848
2,ECG5000,0.8000000000000002,1.1102230246251565e-16
3,FordA,0.8000000000000002,1.1102230246251565e-16
4,GunPoint,0.8700000000000001,0.09539392014169455
5,Heartbeat,0.8100000000000002,0.043588989435406726
6,NATOPS,0.8000000000000002,1.1102230246251565e-16
7,PenDigits,0.8000000000000002,1.1102230246251565e-16
8,UWaveGestureLibrary,0.8000000000000002,1.1102230246251565e-16
9,ElectricDevices,0.8400000000000002,0.07999999999999999
