,ynn,ynn_timeseries,red,sparsity
0,0.3999999999999999,1.0,24612,24612
1,0.19999999999999996,1.0,23281,23281
2,0.19999999999999996,1.0,22465,22465
3,0.19999999999999996,1.0,24701,24701
4,0.6,1.0,23716,23716
5,1.0,1.0,24323,24323
6,0.3999999999999999,1.0,24478,24478
7,0.19999999999999996,1.0,20526,20526
8,0.6,1.0,5578,5578
9,0.6,1.0,22872,22872
10,0.8,1.0,15398,15398
11,0.6,1.0,20607,20607
12,1.0,1.0,19631,19631
13,0.8,1.0,24455,24455
14,0.6,1.0,23982,23982
15,0.19999999999999996,1.0,21953,21953
16,0.3999999999999999,1.0,24512,24512
17,0.3999999999999999,1.0,16937,16937
18,0.6,1.0,24051,24051
19,0.3999999999999999,1.0,24542,24542
