,method,validity,ynn_timeseries,ynn_timeseries_std,red,red_std,sparsity,sparsity_std,dis,dis_std
0,TS_Evo,Not implemented,0.8000000000000002,1.1102230246251565e-16,2.75,1.3369741957120937,0.640625,0.19452968121857395,17.185710917563043,6.804974654874589
1,Wachter,0.5,0.8,0.0,5.6,3.168595903550972,0.8,0.4,19.71370426034955,17.542873272433614
2,Ates,1.0,0.8000000000000002,1.1102230246251565e-16,0.3,0.45825756949558394,0.890625,0.1503576465464926,25.19375,8.70986106017197
