,method,validity,ynn_timeseries,ynn_timeseries_std,red,red_std,sparsity,sparsity_std,dis,dis_std
0,TS_Evo,1.0,0.8000000000000002,1.1102230246251565e-16,22.6,11.753297409663386,0.45285714285714285,0.1885957776487554,0.32744917922089334,0.1108387051341423
1,Wachter,0.0,0.8600000000000001,0.0916515138991168,140.0,0.0,1.0,0.0,1.498912569820452e-08,1.6683733564097148e-09
2,NG_DBN,0.9,0.8000000000000002,1.1102230246251565e-16,3.7222222222222223,6.504746604984835,0.9920634920634921,0.03272306052077509,49079880931.67394,107197192138.73666
3,NG_GradCam,0.0,0.8600000000000001,0.0916515138991168,1.0,0.0,0.007142857142857143,0.0,0.002648488833391258,0.002726396284472619
