,ynn,ynn_timeseries,red,sparsity,closest
0,0.19999999999999996,0.8,2,10,15
1,0.19999999999999996,0.8,2,10,13
2,0.19999999999999996,0.8,1,8,13
3,0.19999999999999996,0.8,3,8,14
4,0.19999999999999996,0.8,2,9,13
5,0.19999999999999996,0.8,0,3,14
6,0.19999999999999996,0.8,2,12,14
7,0.19999999999999996,0.8,1,8,15
8,0.19999999999999996,0.8,0,5,13
9,0.19999999999999996,0.8,1,11,14
10,0.19999999999999996,0.8,2,6,16
11,0.19999999999999996,0.8,1,9,13
12,0.19999999999999996,0.8,2,9,16
13,0.19999999999999996,0.8,0,6,15
14,0.19999999999999996,0.8,1,8,16
15,0.19999999999999996,0.8,1,9,15
16,0.19999999999999996,0.8,1,5,13
17,0.19999999999999996,0.8,0,8,16
18,0.3999999999999999,0.8,1,9,11
19,0.19999999999999996,0.8,0,9,15
