,ynn,ynn_timeseries,red,sparsity
0,0.6,1.0,2040,2040
1,0.19999999999999996,1.0,134,134
2,0.19999999999999996,1.0,376,376
3,0.19999999999999996,1.0,3413,3413
4,0.8,1.0,252,252
5,1.0,1.0,261,261
6,0.6,1.0,605,605
7,0.3999999999999999,1.0,346,346
8,0.3999999999999999,1.0,187,187
9,0.6,1.0,597,597
10,0.8,1.0,910,910
11,0.6,1.0,164,164
12,1.0,1.0,686,686
13,0.8,1.0,1004,1004
14,0.3999999999999999,1.0,240,240
15,0.3999999999999999,1.0,605,605
16,0.3999999999999999,1.0,676,676
17,0.3999999999999999,1.0,356,356
18,0.6,1.0,428,428
19,0.3999999999999999,1.0,754,754
